Time_ini_ms,Time_fin_ms,sdnn,rmsdd,pnn50
1734387769.1603463,1734387810.6143463,0.060916336068422665,0.09315041599478727,0.0
1734387777.5223465,1734387818.9143465,0.04792911432521974,0.050328918128642826,0.0
1734387785.7223463,1734387827.2323463,0.022600884938441996,0.03184336665618966,0.0
1734387794.0043464,1734387843.7583463,3.6710046581283255,4.099123564861113,0.0
1734387802.2843463,1734387852.0403464,3.6707774108490705,5.809632260306961,0.0
1734387810.6143463,1734387860.2523463,3.6843646399345182,5.809715655692573,0.0
1734387818.9143465,1734387868.6043463,3.6784826763218326,5.810142511160924,0.0
1734387827.2323463,1734387876.8083463,3.691352435083903,4.118443880885071,0.0
1734387843.7583463,1734387885.1883464,0.08011741383743787,0.14012494424619293,0.0
1734387852.0403464,1734387901.7463465,3.6950757502384204,4.086253296113694,0.0
1734387860.2523463,1734387909.9423463,3.6969523664770136,5.84220857210695,0.0
1734387868.6043463,1734387918.2263465,3.704346528066722,5.84190046132249,0.0
1734387876.8083463,1734387926.5683465,3.688820245010591,5.841304734389392,0.0
1734387885.1883464,1734387934.7843463,3.706959239052945,4.17681146330546,0.0
1734387901.7463465,1734387943.1463463,0.07374822031748819,0.11003181358131774,0.0
1734387909.9423463,1734387951.3463464,0.07206108519858681,0.12838224176260685,0.0
1734387918.2263465,1734387959.6243465,0.07202777242146205,0.1309274608323011,0.0
1734387926.5683465,1734387967.9803464,0.07524094629919416,0.12121881042146156,0.0
1734387934.7843463,1734387976.1923463,0.07568883669338917,0.12002499739636323,0.0
1734387943.1463463,1734387984.4703465,0.061618179135707135,0.09502631214563802,0.0
1734387951.3463464,1734388001.0363464,3.700811100285979,4.1399163035017805,0.0
1734387959.6243465,1734388009.3183465,3.700363387560727,5.852534066539008,0.0
1734387967.9803464,1734388017.5963464,3.708850603623706,5.852103724302878,0.0
1734387976.1923463,1734388025.9563463,3.6923693206395143,5.852166949088142,0.0
1734387984.4703465,1734388034.2663465,3.688770093134014,4.13729537258337,0.0
1734388001.0363464,1734388042.4383464,0.06944926205513459,0.08488227141167665,0.0
1734388009.3183465,1734388050.7863464,0.07608416392392095,0.12297154142322989,0.0
1734388017.5963464,1734388059.0783465,0.07558571293572354,0.11915955689746045,0.0
1734388025.9563463,1734388067.2843463,0.0743370701601994,0.1239838699186471,0.0
